bgc,bgc_pred,All,BioClim,Gini16,NoMonth,NzvCorr,Will35
BAFA,BAFA,41.6974017925,35.4004948321,32.0998979701,41.1100285726,38.6453889259,35.7469050821
BAFA,BWBS,,,0.0001385641,,0.0001385641,
BAFA,CMA,5.2816477997,7.6003794491,7.5636599626,5.2878831842,9.1186262928,5.7475003039
BAFA,CWH,0.0288213328,0.0099766152,0.0389365121,0.0514072811,0.0798129216,0.0418463582
BAFA,ESSF,7.062612177,9.3008380843,12.7430474565,7.0124519728,4.5494750953,9.5122869009
BAFA,ICH,,0.0001385641,,0.0001385641,0.0004156923,
BAFA,IMA,1.0744260314,2.3744344176,2.0169390396,0.7931409084,0.1833203043,1.3850867436
BAFA,MH,1.4484105373,1.2422271565,0.9868535202,1.4233304352,2.9487826121,0.8169739336
BAFA,MS,0.0001385641,0.0018013333,0.0051268717,0.0002771282,0.0004156923,0.0005542564
BAFA,SBS,0.0002771282,0.0054039999,0.0045726153,0.001385641,,0.0076210255
BAFA,SWB,6.2909487041,6.948989615,7.4255115549,7.2046403795,7.3583079664,9.6259094629
BG,BG,0.5866803994,0.622152809,0.7166535252,0.5369358875,0.5775351688,1.0255129041
BG,ICH,,,,,0.0002771282,
BG,IDF,0.7839956778,0.7449206016,0.5520393744,0.7152678842,0.7797001907,0.4745820425
BG,JPW,,0.0591668707,,,,
BG,PP,1.1995494137,1.1439852096,1.3015325913,1.3180217192,1.2127130032,1.0701305443
BWBS,BWBS,135.9237610745,129.5502281668,137.1043272065,134.9272080673,126.6581182716,142.3006195206
BWBS,CMA,0.0002771282,0.0128864613,0.0002771282,0.0004156923,,0.0095609229
BWBS,CWH,0.5636787588,0.2151900473,0.3429461475,0.532086144,1.004589725,0.0593054348
BWBS,ESSF,8.2690897957,8.4341196388,4.1434822823,7.9125643664,6.3264211137,4.9326048318
BWBS,FG,,0.3696890188,0.065125127,,,0.0455875889
BWBS,ICH,3.1154752244,1.7776388389,1.366242026,3.3212429129,12.1404321856,0.5343031696
BWBS,IDF,,0.0533471785,0.0238330252,0.0002771282,,0.0453104607
BWBS,MGP,,0.0078981537,0.006928205,,,
BWBS,MH,0.1679396892,0.6024767068,0.0893738445,0.2918159946,0.1242919977,0.0935307675
BWBS,MS,1.0636180316,10.8653653374,6.6667345433,4.7898838088,0.6652462441,8.2178210787
BWBS,SBAP,,0.2811465589,0.0001385641,0.023555897,,0.001385641
BWBS,SBPS,,0.527929221,1.2369617207,0.0358881019,0.0101151793,0.2568978414
BWBS,SBS,14.6562019852,11.1786587675,12.9091858124,12.0050550599,16.83553815,7.3555366844
BWBS,SWB,0.2819779435,0.1654455354,0.0864639984,0.2020264578,0.2772667641,0.1895556888
CDF,CDF,1.8689525808,1.1277732099,2.3882908276,1.2451370026,1.3605608979,1.443837922
CDF,CRF,,0.0029098461,,,,
CDF,CWH,0.6804882951,1.4187578199,0.1611500483,1.3043038733,1.188879978,1.1056029539
CMA,BAFA,2.0648822182,1.3174674628,1.2753439764,2.0838654999,1.5300247922,1.525590741
CMA,BWBS,,,0.0019398974,,,0.0001385641
CMA,CMA,24.2571699101,25.1291537914,23.6024545376,23.7647130987,23.8418933024,23.305095979
CMA,CWH,0.3849310698,0.2683986617,0.6239541423,0.4265002998,0.9199270599,0.2768510718
CMA,ESSF,0.6802111669,1.1026931078,1.3569582313,0.7957736263,0.7404865504,1.5528878687
CMA,IMA,0.516844093,1.6795354561,1.4751534086,0.4871913756,0.0153806151,1.2244909517
CMA,MH,7.5971924748,5.9410743516,7.120809099,7.8190335989,8.4794300995,7.5830589366
CMA,MS,,,,,,0.0001385641
CMA,SWB,0.1531133305,0.2160214319,0.1977309707,0.2772667641,0.1280332284,0.1860915863
CWH,BG,0.0156577433,0.0130250254,0.012470769,0.0177362048,0.0162119997,0.0131635895
CWH,BWBS,0.0200917945,0.0072053332,0.0972719982,0.008313846,,0.1119597928
CWH,CDF,1.3611151543,1.1093441846,1.8682597603,1.3299382318,0.9037150602,1.1942839779
CWH,CMA,0.0009699487,0.0151034869,0.002771282,0.0008313846,0.0015242051,0.0018013333
CWH,CMX,,0.01385641,,,,
CWH,CRF,,,,,0.0008313846,
CWH,CWF,,0.0042954871,,,,
CWH,CWH,99.5502691322,97.0235527687,97.5387340925,99.5359970299,100.3413315791,98.2134026954
CWH,ESSF,0.0034641025,0.148263587,0.0825842036,0.0091452306,0.0022170256,0.0601368194
CWH,ICH,1.017060494,0.7363296274,1.4109982303,0.9261624444,1.3667962824,1.3900750512
CWH,IDF,0.5882046045,0.534857426,1.0014027507,0.5895902455,0.1977309707,1.0688834674
CWH,IGF,0.0005542564,1.1326229534,0.0450333325,0.0534857426,,0.0135792818
CWH,IWF,,0.0006928205,,,,
CWH,MH,0.6793797823,1.9292279643,1.0016798789,0.7729105498,0.4249760947,1.0727632622
CWH,MS,0.0030484102,0.5693598869,0.2017493296,0.0066510768,0.0002771282,0.1180566132
CWH,PP,0.0001385641,,0.0001385641,,,
CWH,SAS,0.0008313846,,,,,
CWH,SBS,0.0175976407,0.0162119997,0.0142721023,0.0170433843,0.0145492305,0.026327179
CWH,SWB,0.0279899482,0.0324239994,0.0090066665,0.0185675894,0.0162119997,0.0019398974
ESSF,BAFA,2.3025196497,2.1388754476,1.0977048002,2.1088070379,5.2033590832,1.1744693116
ESSF,BWBS,0.0343638968,0.3760629674,2.4474576983,0.203689227,0.0371351788,1.8097857101
ESSF,CMA,3.8642756208,1.9196670414,1.0875896209,2.1581358575,4.4239360207,0.7869055239
ESSF,CWH,16.1998060592,7.9735325704,7.9614774937,14.7386476247,25.5246157328,4.7907151934
ESSF,ESSF,114.0753894788,120.0082885485,125.7392997245,119.2500657933,80.5545166632,136.646372856
ESSF,FG,,0.012470769,0.0156577433,,,0.0020784615
ESSF,ICH,13.9010276402,10.5674525224,12.8272944293,13.0383275536,19.6648785079,11.2443381509
ESSF,IDF,0.1669697405,0.437862556,0.1932969195,0.1359313821,0.0426777428,0.188447176
ESSF,IGF,0.0058196922,0.0933922034,0.0353338455,0.0074824614,,0.0148263587
ESSF,IMA,1.6085906369,3.8094042372,2.6765041556,1.9572179125,0.951935367,2.1538403704
ESSF,IWF,,0.0004156923,,,,
ESSF,MH,15.6444411464,15.747809965,9.1675394201,12.9813777085,33.9649707561,5.0441489323
ESSF,MS,2.3578067256,7.3655132996,5.8913298397,3.0315053798,1.168095363,4.9722341644
ESSF,SBAP,,0.0001385641,0.002771282,,,0.0001385641
ESSF,SBPS,0.0266043072,0.0339482045,0.2093703551,0.0120550767,0.0015242051,0.0115008203
ESSF,SBS,3.9665359266,3.5109371658,4.3186273047,4.4767289428,2.1625699087,4.722264528
ESSF,SWB,0.2807308666,0.4391096329,0.7636267551,0.3349094297,0.7346668582,0.8728152659
ICH,BG,0.0177362048,0.1443837922,0.3181431736,0.0231402047,0.030484102,0.1852602017
ICH,BWBS,0.0001385641,0.0049883076,0.3390663527,0.0004156923,0.0001385641,0.1313587668
ICH,CWH,8.4697306125,2.6924390271,5.2740267742,7.3084248904,13.1252072443,2.5499951323
ICH,ESSF,0.3357408143,3.440546603,1.2576077716,0.619381527,0.1715423558,1.2961285914
ICH,FG,,0.185675894,0.0182904612,,,0.0234173329
ICH,ICH,44.3409276923,38.9506456382,43.8190952917,44.5992111747,41.3288212865,47.8134826024
ICH,IDF,1.7485403779,6.2107200902,3.035939431,2.3591923666,0.4957823498,2.3220571878
ICH,IGF,,1.9838222197,0.232787688,,,0.0296527174
ICH,IWF,,0.0109465639,,,,
ICH,MH,0.1575473817,0.1734822532,0.022170256,0.1463236896,0.1754221506,0.0620767168
ICH,MS,0.1549146638,1.4830515623,0.8622843943,0.1018446135,0.0205074868,0.6799340387
ICH,PP,0.1229063567,0.0001385641,0.0299298456,0.115008203,0.0340867686,0.0001385641
ICH,SBAP,,0.0006928205,0.0145492305,,,0.0052654358
ICH,SBPS,0.0002771282,,0.0054039999,0.0015242051,,0.0001385641
ICH,SBS,0.0522386657,0.1187494337,0.1714037917,0.1262318951,0.0187061535,0.3015154816
ICH,SWB,,0.0004156923,,,,0.0002771282
IDF,BG,0.169048202,0.4878841961,0.2097860474,0.1680782533,0.1226292285,0.493288196
IDF,CDF,,,,,0.0038797948,0.0004156923
IDF,CMA,,0.0113622562,0.0009699487,,,
IDF,CMX,,0.0059582563,0.0009699487,,,
IDF,CWF,,0.0533471785,0.0005542564,0.0004156923,,0.0137178459
IDF,CWH,1.5559362789,0.4514418378,0.5755952714,1.1690653117,3.3511727585,0.5201696314
IDF,ESSF,0.0113622562,0.1312202027,0.0331168199,0.0135792818,0.0073438973,0.0317311789
IDF,FG,,0.4328742484,,,,0.0018013333
IDF,ICH,4.3978859699,1.7249844809,2.7277728726,3.4591141924,9.5521933617,2.6131803619
IDF,IDF,36.1904487662,36.0669881531,36.4530277357,36.8846549072,28.0978896339,37.5788610482
IDF,IGF,0.0356109737,1.6436473542,0.1262318951,0.1173637927,0.0078981537,0.0806443062
IDF,IWF,,0.2035506629,,,,
IDF,JPW,,0.0690049218,,,,
IDF,MGP,,0.0105308716,,,,0.0001385641
IDF,MH,0.0195375381,0.0048497435,0.0019398974,0.0230016406,0.0113622562,0.0012470769
IDF,MS,0.3471030705,1.872000991,1.9505668357,0.7566985501,0.0929765111,1.2711870534
IDF,PP,2.0941192433,1.6829995586,2.690914822,2.1239105248,1.5517793559,1.6690045845
IDF,SBAP,,,,,,0.0001385641
IDF,SBPS,0.0182904612,0.0065125127,0.0612453322,0.0493288196,0.0447562043,0.0250801021
IDF,SBS,0.0223088201,0.0009699487,0.0289598969,0.0964406136,2.0177704242,0.5610460409
IDF,WJP,,0.0015242051,,,,
IMA,BAFA,1.0346581347,3.2500209655,1.1305444919,1.1244476715,2.1772577033,1.4912268442
IMA,CMA,1.3090150527,2.1322243708,1.400883051,0.8172510618,4.5999124277,0.2908460459
IMA,CWH,0.0371351788,0.0148263587,0.0376894352,0.0184290253,0.0839698446,0.0081752819
IMA,ESSF,2.1825231391,2.2609504197,3.5893644464,2.4780803644,1.1614442862,3.6044679333
IMA,IMA,7.587770116,4.3112834074,6.1084597844,7.7284126775,3.1861429154,6.8882985392
IMA,MH,0.3163418403,0.4927339396,0.1942668682,0.299298456,1.165324081,0.1574088176
IMA,MS,0.0015242051,0.0005542564,0.0012470769,0.0019398974,0.0004156923,0.001385641
IMA,SWB,0.0001385641,0.0065125127,0.0066510768,0.0012470769,0.0946392803,0.0272971277
MH,BAFA,0.0009699487,0.0059582563,0.0397678967,0.0054039999,,0.0230016406
MH,BWBS,0.0034641025,0.0200917945,0.6677403979,0.0128864613,,0.38797948
MH,CMA,1.1762706449,4.1739663843,2.2274179075,1.2948815145,1.2099417212,1.6663718666
MH,CWH,14.5263674235,11.1531629731,14.6160183962,14.6484423956,18.271062226,12.2794119779
MH,ESSF,0.8887501374,1.5918243808,1.0977048002,0.9757683922,0.6896335257,1.968995861
MH,ICH,0.1520048177,0.1855373299,0.1556074843,0.123322049,0.0785658447,0.297912815
MH,IDF,0.0023555897,0.008313846,0.0113622562,0.0047111794,0.0004156923,0.0121936408
MH,IGF,,0.0109465639,0.0006928205,0.0001385641,,0.0002771282
MH,IMA,,0.1694638943,0.0426777428,0.0062353845,0.0012470769,0.0516844093
MH,MH,22.9621498315,22.3807348679,20.6969039247,22.6052087099,19.4078421024,23.0461196761
MH,MS,,0.0616610245,0.0630466655,0.0011085128,0.0005542564,0.0885424599
MH,SBS,0.0680349731,0.0951935367,0.1193036901,0.0771802037,0.0727461525,0.116393844
MH,SWB,0.4670995811,0.3906121979,0.5092230675,0.4921796832,0.515458452,0.3085822507
MS,BAFA,0.0029098461,,0.0018013333,0.0004156923,0.0004156923,0.0029098461
MS,BG,,0.0002771282,,,,
MS,BWBS,,,,0.0002771282,0.0019398974,0.0076210255
MS,CMA,0.0033255384,0.049883076,0.0153806151,0.0002771282,0.0005542564,
MS,CWH,2.0116736038,0.695591782,0.5485752719,1.5460982278,4.2058361273,0.3859010185
MS,ESSF,1.8354200686,3.0126606622,2.2398886765,1.5243436641,1.5571833558,2.3650120588
MS,FG,0.0002771282,0.5994282966,0.2483068672,0.0006928205,,0.2279379445
MS,ICH,6.8567059244,2.9501682531,3.8071872116,5.8191379436,10.0212328402,4.0237628999
MS,IDF,5.7944735338,7.6941873448,6.6156043904,6.2006049109,2.7175191292,5.9798722996
MS,IGF,0.0525157939,0.4033600951,0.1141768184,0.0504373324,0.0031869743,0.0782887165
MS,IMA,,0.006928205,0.0015242051,,0.0004156923,
MS,IWF,,0.0253572303,0.0001385641,,,
MS,MH,1.1518833633,0.0375508711,0.0077595896,1.1323458252,0.4823416321,0.0102537434
MS,MS,7.7986646762,8.9641273213,11.3312178416,8.3224369742,5.0334794966,11.1218474865
MS,SBAP,,,0.0430934351,,,0.0141335382
MS,SBPS,2.5429283632,4.0209916179,3.3320509127,3.3391176818,2.1506533961,3.9597462857
MS,SBS,0.6031695273,0.1934354836,0.3472416346,0.717762038,2.4791888772,0.476660504
PP,BG,0.3387892245,0.8243178309,0.2738026616,0.3576339421,0.1320515873,0.3842382493
PP,ICH,0.0521001016,0.0145492305,0.0175976407,0.0430934351,0.0825842036,0.0336710763
PP,IDF,0.4673767093,0.4052999925,0.286827687,0.436476915,0.4622498376,0.2998527124
PP,IGF,,0.0005542564,,,,
PP,JPW,,0.0144106664,,,,
PP,PP,2.0952277561,1.6943618148,2.3752658022,2.1162894993,2.276608163,2.2357317535
SBPS,BG,,0.0004156923,,,,
SBPS,BWBS,,,,,0.0006928205,0.0005542564
SBPS,CWH,0.2495539441,0.0012470769,0.0042954871,0.1776391762,0.663722039,
SBPS,ESSF,0.2417943545,0.0302069738,0.0135792818,0.0155191792,0.1155624594,0.0087295383
SBPS,FG,,0.5049275804,,,,0.0274356918
SBPS,ICH,0.8367885999,0.1813804069,0.3401748655,0.5233566057,1.8883515548,0.1115441005
SBPS,IDF,10.6396444185,14.8141650592,13.5174822114,11.0175087192,8.7612694789,10.1952693498
SBPS,IMA,,0.0029098461,,,,
SBPS,MH,0.0684506654,,,0.098380511,0.0019398974,
SBPS,MS,1.0482374165,3.3596251686,3.15926148,1.3158046936,0.2174070729,1.7939894027
SBPS,SBPS,5.2912087226,2.1649254984,1.9231311439,4.7916851421,3.4204548085,5.9377488132
SBPS,SBS,4.2776123311,1.59348715,3.6953659829,4.7133964256,7.5838903212,4.5780192999
SBS,BWBS,0.0448947684,0.0602753835,0.7242745507,0.0731618448,0.0701134346,0.7600240885
SBS,CWH,9.5341800287,1.5563519712,1.2580234639,7.1112481761,14.0914147136,1.02537434
SBS,ESSF,2.3572524692,4.6065635045,2.434571237,2.2091274463,1.5693769966,3.4685365512
SBS,FG,,1.3059666425,,,,0.0052654358
SBS,ICH,52.2239779054,31.0878257837,34.8444370988,46.198656581,72.5401076833,27.7958198959
SBS,IDF,3.0891480454,28.481850755,15.5959437114,6.3156131139,1.0591839804,13.8280043595
SBS,MGP,,0.002771282,0.0004156923,,,
SBS,MH,0.0184290253,0.0024941538,0.0077595896,0.0023555897,0.0335325122,0.0030484102
SBS,MS,0.2465055339,9.2355743932,7.0497257157,0.1323287155,0.0816142549,3.6100104973
SBS,SBPS,0.6946218333,0.7464448067,1.382869718,1.0388150577,0.2158828678,1.1758549526
SBS,SBS,35.1696470415,26.281452847,40.083822848,40.290283357,13.698446926,51.7039468381
SBS,SWB,0.0098380511,0.0209231791,0.0066510768,0.0169048202,0.0288213328,0.0126093331
SWB,BAFA,3.1340428138,2.0292712445,0.7000258332,2.735255334,6.2912258323,1.1751621321
SWB,BWBS,14.3377816834,12.6834648935,21.0059018677,15.7230069911,16.9244963022,18.5012171961
SWB,CMA,0.4977222472,0.8056116774,0.9071791627,0.5308390671,0.8478737279,0.7364681915
SWB,CWH,0.0210617432,0.0112236921,0.0076210255,0.0295141533,0.1556074843,0.0011085128
SWB,ESSF,38.0783846287,55.4198203078,46.4277030383,40.4317573031,40.0121852083,34.9601381223
SWB,ICH,0.0022170256,0.0518229734,0.1622585611,0.0289598969,0.1147310748,0.0800900498
SWB,IMA,,0.4797089142,0.1193036901,0.0034641025,,0.1032302545
SWB,MH,0.7235817302,1.2037063367,1.1992722855,0.9267167008,1.5204638693,0.9627433668
SWB,MS,0.0116393844,0.0770416396,0.1623971252,0.0171819484,0.0099766152,0.3342166092
SWB,SBS,0.2210097395,0.266043072,0.4718107605,0.2018878937,0.281285123,0.2779595846
SWB,SWB,29.5277325818,13.5274588266,15.391700228,25.9265901869,20.3973283405,29.4228395581
