bgc,Actual,All,BioClim,Gini16,NoMonth,NzvCorr,Will35
BAFA,62.8846840671,50.2373844037,44.1420882088,36.3450863018,49.1682238081,53.8476720292,41.1392655977
BG,2.5702254909,1.127911774,2.0924564741,1.5308561768,1.1035244924,0.8789120863,2.1014631406
BWBS,164.0420196311,150.3644958842,142.7023168465,162.3881185335,150.948959258,143.6927730333,164.0112584009
CDF,2.5494408759,3.2300677351,2.2371173945,4.2565505879,2.5750752344,2.2681557529,2.6385375922
CMA,35.6543442633,36.3906738907,41.8502379948,36.8085832163,33.8552279889,44.0442619542,32.544550167
CMX,0,0,0.0198146663,0.0009699487,0,0,0
CRF,0,0,0.0029098461,0,0,0.0008313846,0
CWF,0,0,0.0576426656,0.0005542564,0.0004156923,0,0.0137178459
CWH,103.2863729605,153.8136334614,123.4856932021,128.9890435618,148.5978036092,183.007149434,121.2578596023
ESSF,174.4348813875,176.0219945889,209.4879960209,201.1589079699,183.2475581475,137.4573885333,200.408029112
FG,0,0.0002771282,3.4110324497,0.3473801987,0.0006928205,0,0.3335237887
ICH,55.400698462,126.8961713954,88.2284736494,101.4786657119,118.0807233534,168.779387646,95.9381801734
IDF,44.8616515801,59.4711574636,95.4525130029,77.2867594929,64.6598287522,42.6144190063,71.9933337447
IGF,0,0.0945007162,5.2683456461,0.5542564,0.2289078932,0.011085128,0.2172685088
IMA,12.4691062308,10.7876308773,12.8336683779,12.4405620262,10.975662361,4.338441971,11.8066312687
IWF,0,0,0.2409629699,0.0001385641,0,0,0
JPW,0,0,0.1425824589,0,0,0,0
MGP,0,0,0.0212003073,0.0073438973,0,0,0.0001385641
MH,40.2474670501,50.9552850058,49.75836831,40.4963281737,48.5220994098,68.7406800613,38.85337364
MS,28.6539473672,13.0332006819,43.8556762141,37.3446877192,18.4776612991,7.2909658138,32.2099178655
PP,2.9534937915,5.5119413339,4.5214851471,6.3977816252,5.6732299463,5.0751872907,4.9750054464
SAS,0,0.0008313846,0,0,0,0,0
SBAP,0,0,0.2819779435,0.0605525117,0.023555897,0,0.0210617432
SBPS,22.6532904526,8.5739308157,7.5007518612,8.1510331825,9.2684140849,5.8433866611,11.3669673794
SBS,103.3884947022,59.054633779,43.2605434046,62.1645664394,62.7233954547,45.1646912668,70.12729101
SWB,86.5551735778,37.039569571,21.7479126232,24.3965653947,34.4743323877,29.5507342224,40.6479172991
WJP,0,0,0.0015242051,0,0,0,0
